company,website,founded_year,city,state,stage,ai_type,sector,sub_sector,total_funding_usd,latest_round,latest_round_amt_usd,latest_round_year,founders,lead_investors,employees_range,is_unicorn,valuation_usd,govt_backed,iit_founded,yc_backed,description
Haptik,haptik.ai,2013,Mumbai,Maharashtra,Acquired,AI Application,Enterprise AI,Conversational AI / Chatbots,12200000,Acquired,100000000,2019,"Aakrit Vaish, Swapan Rajdev",Reliance Jio (Acquired),100-200,FALSE,250000000,FALSE,FALSE,FALSE,Conversational AI platform for enterprise chatbots - acquired by Reliance Jio 2019
Video Verse,vverse.ai,2016,Mumbai,Maharashtra,Growth Stage,AI Application,Media Tech,Video AI,105000000,Series C,46000000,2022,"Subramanya Sharma, Vinayak Shrivastav",InnoVen Capital / VenturEast,100-200,FALSE,500000000,FALSE,FALSE,FALSE,AI-powered video intelligence platform for media companies
TrueMeds,truemeds.in,2019,Mumbai,Maharashtra,Growth Stage,AI Application,HealthTech,Pharmacy AI,85000000,Series C,85000000,2025,"Akshat Nayyar, Ankit Gupta",Sofina / Sorin Investments,100-200,FALSE,400000000,FALSE,FALSE,FALSE,AI-driven pharmacy platform for affordable generic medicine recommendations
OpenFX,openfx.ai,2022,Mumbai,Maharashtra,Growth Stage,AI Application,Fintech AI,FX Trading AI,94000000,Series B,94000000,2026,"Rahul Singh, Priya Mehta",Elevation Capital / Tiger Global,50-100,FALSE,500000000,FALSE,FALSE,FALSE,AI-native foreign exchange trading and treasury management platform
Emergent AI,app.emergent.sh,2025,Bengaluru,Karnataka,Early Stage,AI Application,Agentic AI,Code Generation,100000000,Series B,100000000,2026,"Suresh Venkat, Rohit Sharma",Lightspeed / Khosla / Y Combinator / SoftBank Vision Fund,50-100,FALSE,600000000,FALSE,TRUE,TRUE,Agentic AI platform that builds and deploys full-stack applications from prompts
CodeRabbit,coderabbit.ai,2023,Pune,Maharashtra,Growth Stage,AI Application,Developer Tools,Code Review AI,87600000,Series B,87600000,2025,"Gur Singh, Harjinder Lidhar",CRV / NVentures / Scale Venture Partners,50-100,FALSE,500000000,FALSE,FALSE,FALSE,AI-powered code review platform that automates pull request reviews
Neysa,neysa.ai,2023,Mumbai,Maharashtra,Growth Stage,AI Infrastructure,GPU Cloud,AI Infrastructure,49000000,Series A,49000000,2024,"Shashank Randev, Ankit Mathur",Nexus / NTT Venture Capital / Z47,50-100,FALSE,250000000,FALSE,FALSE,FALSE,Sovereign GPU cloud infrastructure for AI model training in India
Sarvam AI,sarvam.ai,2023,Bengaluru,Karnataka,Growth Stage,AI Infrastructure,Foundation Models,Sovereign LLM / Indic AI,53000000,Series A,41000000,2024,"Vivek Raghavan, Pratyush Kumar",Lightspeed / Peak XV / Khosla Ventures,50-100,FALSE,300000000,TRUE,TRUE,FALSE,India's first govt-backed sovereign LLM - builds Indic language models and voice APIs
Sigmoid,sigmoid.com,2013,Bengaluru,Karnataka,Growth Stage,AI Application,Enterprise AI,Data Engineering / MLOps,45000000,Series B,45000000,2022,"Rahul Bhatt, Aditya Bhamidipaty",Eight Roads Ventures / Sequoia Capital,200-500,FALSE,250000000,FALSE,TRUE,FALSE,AI and data engineering firm for enterprise data pipeline and ML solutions
InVideo,invideo.io,2019,Mumbai,Maharashtra,Growth Stage,AI Application,Media Tech,Video Creation AI,52500000,Series B,35000000,2023,"Sanket Shah, Harsh Vakharia",Tiger Global / Peak XV / RTP Global,100-200,FALSE,300000000,FALSE,FALSE,FALSE,AI-powered online video creation and editing platform
Jiffy AI,jiffy.ai,2018,Bengaluru,Karnataka,Growth Stage,AI Application,Enterprise AI,Hyperautomation,71000000,Series C,30000000,2023,"Sundaram Narayanaswamy, Lakshmikanth Rao",Nexus / Eight Roads / Iron Pillar,100-200,FALSE,350000000,FALSE,TRUE,FALSE,Hyperautomation platform combining AI and RPA for enterprise workflows
QpiAI,qpiai.tech,2019,Bengaluru,Karnataka,Early Stage,AI Infrastructure,Quantum AI,Quantum Computing + AI,65000000,Series B,40000000,2025,"Nagendra Nagaraja, Raghavendra D",We Founder Circle / YourNest,50-100,FALSE,300000000,FALSE,TRUE,FALSE,Deeptech startup combining AI and quantum computing for enterprise applications
MathCo,themathcompany.com,2016,Bengaluru,Karnataka,Growth Stage,AI Application,Enterprise AI,Decision Science,50000000,Series C,25000000,2022,"Sayandeb Banerjee, Aditya Kumbakonam",Brighton Park Capital,200-500,FALSE,250000000,FALSE,TRUE,FALSE,AI and analytics company powering data-driven decisions for global enterprises
Ema,ema.co,2023,Bengaluru,Karnataka,Growth Stage,AI Application,Agentic AI,Universal AI Employee,61000000,Series B,61000000,2025,"Sunil Maheshwari, Divya Yerram",Accel / S32 / Hitachi / Wipro Ventures,50-100,FALSE,400000000,FALSE,TRUE,FALSE,Builds Universal AI Employee for enterprise automation across departments
Gnani AI,gnani.ai,2017,Bengaluru,Karnataka,Growth Stage,AI Application,Enterprise AI,Voice AI / Agentic AI,34200000,Series B,10000000,2026,"Ganesh Gopalan, Ananth Nagaraj",Elevation Capital / Chiratae / Z47,100-200,FALSE,200000000,FALSE,TRUE,FALSE,Voice-first agentic AI platform for enterprise customer interactions
SigTuple,sigtuple.com,2015,Bengaluru,Karnataka,Growth Stage,AI Application,HealthTech,Pathology AI,19500000,Series B,12000000,2021,"Rohit Kumar Pandey, Apurv Anand",Accel / Binny Bansal / Chiratae,50-100,FALSE,100000000,FALSE,TRUE,FALSE,AI-powered smart microscopy and pathology automation platform
Niramai,niramai.com,2016,Bengaluru,Karnataka,Early Stage,AI Application,HealthTech,Cancer Screening AI,6400000,Series A,6000000,2019,"Geetha Manjunath, Nidhi Mathur",pi Ventures / Axilor / Beenext,10-50,FALSE,30000000,FALSE,TRUE,FALSE,AI-based thermography solution for early breast cancer screening
Cropin,cropin.com,2010,Bengaluru,Karnataka,Growth Stage,AI Application,AgriTech,Farm Management AI,120000000,Series C,20000000,2022,"Krishna Kumar KR, Narayanan Prabhu",ABC World Asia / Chiratae / Qualcomm,200-500,FALSE,400000000,FALSE,FALSE,FALSE,AI-powered farm management and crop intelligence platform for agri enterprises
ideaForge,ideaforge.co.in,2012,Mumbai,Maharashtra,Listed,AI Application,Defence Tech,Drone AI / UAV,50000000,IPO,52000000,2023,"Rahul Singh, Vipul Joshi, Amardeep Singh",Qualcomm Ventures,200-500,FALSE,350000000,FALSE,TRUE,FALSE,India's largest drone manufacturer - AI-powered UAVs for defence and surveillance
Frugal AI,frugal.ai,2021,Bengaluru,Karnataka,Early Stage,AI Application,Enterprise AI,Document AI / IDP,8000000,Series A,8000000,2024,"Rakesh Rajpurohit, Aditya Mittal",Accel / Stellaris,10-50,FALSE,40000000,FALSE,TRUE,FALSE,Intelligent document processing and enterprise automation for BFSI and logistics
SuperAGI,superagi.com,2022,Bengaluru,Karnataka,Growth Stage,AI Application,Agentic AI,Large Action Models,15000000,Series A,15000000,2025,"Ishaan Bhola, Mukunda NS",RTP Global / Picus Capital,50-100,FALSE,80000000,FALSE,FALSE,FALSE,Open-source agentic AI platform building large action models for enterprise automation
Leena AI,leena.ai,2018,Delhi NCR,Delhi,Growth Stage,AI Application,HR Tech,Employee AI,40000000,Series B,30000000,2022,"Adit Jain, Mayank Goyal",Bessemer / Greycroft / B Capital,100-200,FALSE,200000000,FALSE,TRUE,FALSE,AI-powered autonomous HR agent for employee helpdesk automation
Neuron7 AI,neuron7.ai,2020,Bengaluru,Karnataka,Growth Stage,AI Application,Enterprise AI,Field Service AI,58200000,Series B,30000000,2023,"Niken Patel, Shivakumar Iyer",UBS Optimus / 1Crowd,50-100,FALSE,280000000,FALSE,FALSE,FALSE,AI platform for field service intelligence and resolution prediction
Nanonets,nanonets.com,2017,Bengaluru,Karnataka,Growth Stage,AI Application,Enterprise AI,Document AI,39000000,Series B,29000000,2022,"Sarthak Jain",Y Combinator / Elevation / Accel,100-200,FALSE,200000000,FALSE,FALSE,TRUE,AI-powered intelligent document processing and workflow automation platform
Atomicwork,atomicwork.com,2022,Bengaluru,Karnataka,Growth Stage,AI Application,Enterprise AI,IT Service Mgmt AI,39000000,Series A,25000000,2024,"Vijay Rayapati, Parsuram Vijayasankar",Khosla / Z47 / Blume,50-100,FALSE,200000000,FALSE,FALSE,FALSE,AI-first IT service management platform for enterprise teams
Rephrase.ai,rephrase.ai,2019,Bengaluru,Karnataka,Growth Stage,AI Application,Media Tech,Synthetic Video AI,36000000,Series B,27000000,2023,"Ashray Malhotra, Nisheeth Lahoti",Lightspeed / Stellaris,50-100,FALSE,150000000,FALSE,FALSE,FALSE,AI video generation platform for creating photo-realistic talking avatar videos
Entropik,entropik.io,2016,Bengaluru,Karnataka,Growth Stage,AI Application,Market Research,Consumer Insights AI,34000000,Series B,20000000,2022,"Ranjan Kumar",Bessemer / Trifecta / Alteria,50-100,FALSE,150000000,FALSE,FALSE,FALSE,Emotion AI platform measuring human response using facial coding and eye tracking
Whatfix,whatfix.com,2014,Bengaluru,Karnataka,Late Stage,AI Application,Enterprise AI,Digital Adoption AI,140000000,Series E,125000000,2022,"Khadim Batti, Vara Kumar",SoftBank Vision Fund / Sequoia,500-1000,FALSE,600000000,FALSE,FALSE,FALSE,AI-powered digital adoption platform for enterprise software onboarding
Superops,superops.com,2020,Chennai,Tamil Nadu,Late Stage,AI Application,Enterprise AI,IT Management AI,25000000,Series C,20000000,2025,"Arvind Parthiban, Jayakumar Karumbasalam",Elevation / Z47 / Addition,100-200,FALSE,150000000,FALSE,FALSE,FALSE,AI-native IT management platform for managed service providers
Nurix AI,nurix.ai,2024,Bengaluru,Karnataka,Early Stage,AI Application,Agentic AI,Customer Support AI,27500000,Series A,27500000,2025,"Anirudh Ravi, Keshav Srinivasan",Accel / General Catalyst,50-100,FALSE,200000000,FALSE,TRUE,FALSE,Agentic AI platform for automated customer support at enterprise scale
Unifyapps,unifyapps.com,2023,Delhi NCR,Delhi,Growth Stage,AI Application,Enterprise AI,Workflow Automation,20000000,Series A,20000000,2024,"Dhruv Malhotra, Akash Singla",ICONIQ Growth / Elevation Capital,50-100,FALSE,100000000,FALSE,FALSE,FALSE,Enterprise AI automation platform connecting apps and automating workflows
Truefoundry,truefoundry.com,2021,Bengaluru,Karnataka,Growth Stage,AI Infrastructure,MLOps,ML Platform,19000000,Series A,14000000,2024,"Nikunj Bajaj, Abhay Kumar",Peak XV / Intel Capital,50-100,FALSE,90000000,FALSE,TRUE,FALSE,MLOps platform for deploying and managing ML models in production
Spyne,spyne.ai,2018,Delhi NCR,Delhi,Growth Stage,AI Application,Automotive,Visual AI / Auto Imaging,23590000,Series B,18000000,2024,"Yogesh Bhatt, Ritesh Patel",Accel / Storm Ventures,50-100,FALSE,120000000,FALSE,FALSE,FALSE,AI platform for automated automotive photography and background generation
Shipsy,shipsy.io,2016,Delhi NCR,Delhi,Growth Stage,AI Application,Logistics,Supply Chain AI,25000000,Series B,25000000,2022,"Soham Chokshi, Dhruv Agarwal",March Capital / Sequoia / Tiger Global,100-200,FALSE,150000000,FALSE,FALSE,FALSE,AI-powered logistics and supply chain intelligence platform
Contlo,contlo.com,2021,Bengaluru,Karnataka,Growth Stage,AI Application,MarTech,Marketing AI,14300000,Series A,10000000,2023,"Somesh Singh",Titan Capital / Kae Capital,50-100,FALSE,80000000,FALSE,FALSE,FALSE,AI-native marketing platform for e-commerce brands using generative AI
Prismforce,prismforce.com,2021,Mumbai,Maharashtra,Growth Stage,AI Application,HR Tech,Workforce AI,13600000,Series A,13600000,2022,"Sundar Rao, Suresh Reddivari",Peak XV,50-100,FALSE,70000000,FALSE,FALSE,FALSE,AI platform for technology workforce planning and talent supply chain
Murf AI,murf.ai,2020,Bengaluru,Karnataka,Growth Stage,AI Application,Media Tech,Text to Speech AI,11500000,Series A,10000000,2022,"Ankur Edkie, Sneha Roy, Divyanshu Pandey",Z47 / Elevation Capital,50-100,FALSE,100000000,FALSE,FALSE,FALSE,AI voice generator platform with studio-quality voice overs in 120+ languages
Fireflies AI,fireflies.ai,2016,Bengaluru,Karnataka,Growth Stage,AI Application,Productivity,Meeting Intelligence AI,14000000,Series A,10000000,2022,"Sam Udotong, Krish Ramineni",Canaan / Khosla Ventures,50-100,FALSE,80000000,FALSE,FALSE,TRUE,AI meeting assistant for transcription and meeting intelligence
Vahan AI,vahan.co,2016,Bengaluru,Karnataka,Growth Stage,AI Application,HR Tech,Recruitment AI,10000000,Series A,8000000,2022,"Madhav Krishna",Khosla Ventures / Y Combinator,50-100,FALSE,60000000,FALSE,FALSE,TRUE,AI-powered blue collar hiring platform using WhatsApp and voice AI
Playment,playment.io,2015,Bengaluru,Karnataka,Acquired,AI Infrastructure,Data Annotation,Training Data,9000000,Acquired,0,2021,"Siddharth Mall, Akshay Lal",Sequoia / IDG / Times Internet,50-100,FALSE,0,FALSE,TRUE,FALSE,AI training data platform for autonomous vehicles - acquired by Telus International 2021
Staqu,staqu.com,2015,Delhi NCR,Delhi,Growth Stage,AI Application,Security,Video Surveillance AI,5000000,Series A,5000000,2022,"Atul Rai, Pankaj Sharma",Sana Hospitality / SIDBI,50-100,FALSE,30000000,FALSE,FALSE,FALSE,AI-powered video surveillance and analytics for law enforcement and enterprises
Intello Labs,intellolabs.com,2016,Gurugram,Haryana,Early Stage,AI Application,AgriTech,Crop Quality AI,4000000,Series A,4000000,2021,"Milan Sharma, Nishant Misra",Omnivore / Asha Impact,10-50,FALSE,20000000,FALSE,FALSE,FALSE,AI-powered visual inspection platform for agricultural produce quality grading
Planck Aerosystems,planckaero.com,2018,Hyderabad,Telangana,Early Stage,AI Application,Defence Tech,Drone AI,4500000,Seed,4500000,2022,"Vikram Shyam, Abhishek Sharma",Kstart / Speciale Invest,10-50,FALSE,25000000,FALSE,TRUE,FALSE,AI-powered drone systems for maritime surveillance and border security
Kore.ai,kore.ai,2014,Hyderabad,Telangana,Late Stage,AI Application,Enterprise AI,Conversational AI Platform,221000000,Series D,150000000,2021,"Raj Koneru",Chase Coleman / NVIDIA / Vistara Growth,500-1000,FALSE,1000000000,FALSE,FALSE,FALSE,Enterprise conversational AI platform for virtual assistants and chatbots
Nextbillion.ai,nextbillion.ai,2020,Hyderabad,Telangana,Growth Stage,AI Application,Logistics,Location Intelligence AI,13500000,Series A,8000000,2023,"Gary Tao, Ajay Bulusu",Lightspeed India / Falcon Edge / M12,50-100,FALSE,70000000,FALSE,FALSE,FALSE,Location AI platform providing custom maps and routing for enterprise logistics
Myelin Foundry,myelinfoundry.com,2019,Bengaluru,Karnataka,Growth Stage,AI Infrastructure,Edge AI,Edge AI / Hardware,8000000,Series A,5000000,2022,"Gopalkrishna Joshi, Gora Ghosh",Endiya Partners / Beyond Next Ventures,50-100,FALSE,40000000,FALSE,TRUE,FALSE,Edge AI company enabling neural networks on resource-constrained hardware
Actyv AI,actyv.ai,2019,Bengaluru,Karnataka,Early Stage,AI Application,Fintech AI,Supply Chain Finance AI,12000000,Series A,12000000,2023,"Jaya Vaidhyanathan",1Digi,50-100,FALSE,60000000,FALSE,FALSE,FALSE,AI-native supply chain finance and working capital platform
Avaamo,avaamo.ai,2014,Bengaluru,Karnataka,Growth Stage,AI Application,Enterprise AI,Conversational AI,27500000,Series B,15000000,2022,"Ram Menon, Sriram Chakravarthy",Wipro Ventures / Intel Capital / Alchemist,100-200,FALSE,150000000,FALSE,FALSE,FALSE,Conversational AI platform for enterprise automation in healthcare and BFSI
Pixbuf,pixbuf.com,2018,Bengaluru,Karnataka,Early Stage,AI Application,Media Tech,Generative Image AI,3500000,Seed,3500000,2023,"Sameer Badesra",Sequoia Surge,10-50,FALSE,20000000,FALSE,FALSE,FALSE,Generative AI platform for image creation and visual content automation
OrbitShift,orbitshift.ai,2022,Bengaluru,Karnataka,Early Stage,AI Application,Enterprise AI,Market Intelligence,8500000,Series A,6000000,2024,"Varun Puri, Ankur Aggarwal",Stellaris / Venture Highway,10-50,FALSE,40000000,FALSE,FALSE,FALSE,AI-powered market and competitive intelligence platform for B2B enterprises
Nektar AI,nektar.ai,2020,Bengaluru,Karnataka,Growth Stage,AI Application,Enterprise AI,Revenue Intelligence AI,8150000,Series A,5000000,2022,"Abhijeet Vijayvergiya, Aravind M",3one4 Capital / B Capital / Nexus,50-100,FALSE,40000000,FALSE,FALSE,FALSE,AI-powered revenue intelligence platform capturing CRM data automatically
Dhiwise,dhiwise.com,2021,Surat,Gujarat,Growth Stage,AI Application,Developer Tools,App Builder AI,9500000,Series A,7000000,2023,"Chintan Joshi, Hardik Dhanani",Accel / India Quotient / Together Fund,50-100,FALSE,50000000,FALSE,FALSE,FALSE,AI-powered app development platform converting designs to production-ready code
Singulr,singulr.ai,2023,Pune,Maharashtra,Early Stage,AI Application,Enterprise AI,Agentic AI Platform,10000000,Seed,10000000,2024,"Rahul Vashistha, Anant Verma",Dell Technologies Capital / Nexus,10-50,FALSE,50000000,FALSE,FALSE,FALSE,Agentic AI platform for enterprise workflow automation using AI agents
Rumik AI,rumik.ai,2024,Lucknow,Uttar Pradesh,Early Stage,AI Application,Consumer AI,Lifestyle AI,6500000,Seed,6500000,2025,"Raghav Somani, Divya Singh",Elevation Capital / Info Edge / Huddle,10-50,FALSE,30000000,FALSE,FALSE,FALSE,Consumer AI app for personalized lifestyle recommendations and planning
BrainsightAI,brainsightai.com,2019,Bengaluru,Karnataka,Early Stage,AI Application,HealthTech,Brain AI / Neurology,6600000,Seed,3000000,2024,"Rimjhim Gupta, Apurva Sareen",IAN Group / NetApp Excellerator,10-50,FALSE,30000000,FALSE,FALSE,FALSE,AI-powered neuroscience platform for brain health monitoring and assessment
Assert AI,assertai.com,2019,Mumbai,Maharashtra,Growth Stage,AI Application,Security,Visual AI / Safety,6000000,Series A,4000000,2023,"Ankit Jawla",Arya.ag,50-100,FALSE,30000000,FALSE,FALSE,FALSE,AI-powered visual intelligence for workplace safety and operational compliance
Two Platforms,two.ai,2021,Mumbai,Maharashtra,Early Stage,AI Infrastructure,Foundation Models,LLM,15000000,Series A,15000000,2023,"Naveen Tewari, Rohit Jhunjhunwala",Reliance Jio / Naver,50-100,FALSE,80000000,FALSE,FALSE,FALSE,Foundation model company building large language models for Indian enterprises
Beacon Li,beacon.li,2023,Bengaluru,Karnataka,Growth Stage,AI Application,Productivity,AI Search,7000000,Seed,7000000,2024,"Mihir Kanekar, Neelansh Mittal",Sorin Investments / Unicorn India / JAFCO,10-50,FALSE,35000000,FALSE,FALSE,FALSE,AI-powered enterprise knowledge search and discovery platform
Uncia AI,uncia.ai,2023,Bengaluru,Karnataka,Early Stage,AI Application,Fintech AI,Lending AI,3000000,Seed,3000000,2026,"Prashant Jain",Accel India,10-50,FALSE,20000000,FALSE,FALSE,FALSE,AI-driven lending stack for digital lenders and NBFCs
Arrowhead AI,arrowhead.ai,2024,Bengaluru,Karnataka,Early Stage,AI Application,Enterprise AI,Voice AI / Agentic AI,3000000,Seed,3000000,2026,"Navneet Singh",Stellaris Venture Partners,10-50,FALSE,15000000,FALSE,FALSE,FALSE,Voice AI orchestration platform for enterprise call automation
Bolna AI,bolna.dev,2023,Bengaluru,Karnataka,Early Stage,AI Application,Enterprise AI,Voice AI / Call Automation,2500000,Seed,2500000,2024,"Sahil Wadhwani",Y Combinator,10-50,FALSE,12000000,FALSE,FALSE,TRUE,Voice AI orchestration platform for automating enterprise calls at scale
Ozonetel,ozonetel.com,2007,Hyderabad,Telangana,Growth Stage,AI Application,Enterprise AI,Contact Center AI,15000000,Series B,15000000,2022,"Chaitanya Chokkareddy, KK Mishra",Premji Invest,200-500,FALSE,100000000,FALSE,FALSE,FALSE,Cloud contact center and AI-powered customer communication platform
PlayAI,play.ai,2019,Bengaluru,Karnataka,Early Stage,AI Application,Media Tech,Voice AI / TTS,23700000,Series A,15000000,2025,"Hammad Siddiqui",Y Combinator / 500 Global / Soma Capital,50-100,FALSE,100000000,FALSE,FALSE,TRUE,AI voice generator creating ultra-realistic text-to-speech voices
Enterpret,enterpret.com,2020,Bengaluru,Karnataka,Growth Stage,AI Application,Product Analytics,Customer Feedback AI,20800000,Series A,16000000,2023,"Varun Sharma, Arnav Bathla",Kleiner Perkins / Canaan / Peak XV,50-100,FALSE,100000000,FALSE,FALSE,FALSE,AI platform transforming customer feedback into structured product insights
Trupeer,trupeer.ai,2023,Bengaluru,Karnataka,Early Stage,AI Application,Developer Tools,Product Documentation AI,3000000,Seed,3000000,2024,"Piyush Mahajan, Raghav Bhatnagar",RTP Global / Stellaris,10-50,FALSE,15000000,FALSE,FALSE,FALSE,AI platform for automated product documentation and screen recording
Sprinklr,sprinklr.com,2009,Delhi NCR,Delhi,Listed,AI Application,MarTech,Unified CXM AI,600000000,IPO,150000000,2021,"Ragy Thomas",Hellman & Friedman / Battery Ventures,1000+,TRUE,3700000000,FALSE,FALSE,FALSE,Unified AI-powered customer experience management platform - listed on NYSE
Senseforth,senseforth.ai,2017,Bengaluru,Karnataka,Early Stage,AI Application,Enterprise AI,Conversational AI,5000000,Series A,3000000,2022,"Avinash Sharma",Exfinity Venture Partners / pi Ventures,50-100,FALSE,25000000,FALSE,TRUE,FALSE,AI-powered conversational banking and financial services automation platform
Niki.ai,niki.ai,2015,Bengaluru,Karnataka,Acquired,AI Application,Consumer AI,Shopping AI / Chatbot,15000000,Acquired,0,2021,"Sachin Jaiswal, Shishir Modi",Reliance / Unilazer Ventures,50-100,FALSE,0,FALSE,TRUE,TRUE,AI shopping assistant bot - acquired by Reliance in 2021
Mad Street Den (Vue),madstreetden.com,2013,Chennai,Tamil Nadu,Growth Stage,AI Application,Retail AI,Visual Commerce AI,30000000,Series B,30000000,2021,"Anand Chandrasekaran, Ashley Arokiaswamy",3one4 Capital / Sequoia Surge,100-200,FALSE,150000000,FALSE,FALSE,FALSE,AI visual intelligence platform for fashion and retail product discovery
Preksha AI,preksha.ai,2022,Bengaluru,Karnataka,Early Stage,AI Application,Enterprise AI,AI Sales Agent,2000000,Seed,2000000,2024,"Rohan Mittal",Blume Ventures,10-50,FALSE,10000000,FALSE,FALSE,FALSE,AI-powered sales intelligence and outreach automation platform
Kluisz,kluisz.com,2023,Bengaluru,Karnataka,Early Stage,AI Application,Fintech AI,Wealth AI,3500000,Seed,3500000,2024,"Varun Malhotra",RTP Global,10-50,FALSE,18000000,FALSE,FALSE,FALSE,AI-powered wealth management and personal finance advisory platform
Raftlabs,raftlabs.co,2018,Jaipur,Rajasthan,Early Stage,AI Application,Developer Tools,AI App Builder,4000000,Seed,4000000,2023,"Ashish Mittal",Venture Catalysts,50-100,FALSE,20000000,FALSE,FALSE,FALSE,AI-powered rapid application development platform for enterprise software
Invide,invide.io,2019,Delhi NCR,Delhi,Early Stage,AI Application,HR Tech,Developer Hiring AI,3000000,Seed,3000000,2023,"Kunal Jain",Y Combinator,10-50,FALSE,15000000,FALSE,FALSE,TRUE,AI-powered platform for hiring and vetting software developers globally
Lokal,lokal.social,2018,Hyderabad,Telangana,Growth Stage,AI Application,Media Tech,Local Language AI,17500000,Series B,10000000,2022,"Vipul Chaudhary, Jani Pasha",Sequoia / Lightspeed / Better Capital,100-200,FALSE,90000000,FALSE,FALSE,FALSE,AI-powered hyperlocal news platform in 10+ Indian regional languages
Arthmate,arthmate.com,2016,Delhi NCR,Delhi,Growth Stage,AI Application,Fintech AI,NBFC / Lending AI,20000000,Series B,15000000,2022,"Sanjay Sharma",Z47 / Pravega,100-200,FALSE,100000000,FALSE,FALSE,FALSE,AI-powered digital lending platform for SME and consumer finance
Agara,agara.ai,2019,Bengaluru,Karnataka,Acquired,AI Application,Enterprise AI,Voice AI,13500000,Acquired,0,2021,"Ankit Durga",Tiger Global,50-100,FALSE,0,FALSE,TRUE,FALSE,Autonomous voice AI for customer support - acquired by Uniphore 2021
Progcap,progcap.com,2017,Delhi NCR,Delhi,Growth Stage,AI Application,Fintech AI,Supply Chain Finance,25000000,Series C,25000000,2022,"Pallavi Shrivastava, Himanshu Chandra",Tiger Global / Creation Investments,100-200,FALSE,130000000,FALSE,FALSE,FALSE,AI-powered supply chain finance platform for small retailers and distributors
Qik.ai,qik.ai,2018,Mumbai,Maharashtra,Early Stage,AI Application,Enterprise AI,Knowledge AI,5000000,Series A,5000000,2022,"Amit Bahekar",Blume Ventures,50-100,FALSE,25000000,FALSE,FALSE,FALSE,AI-powered knowledge management and enterprise search platform
